变形客户号,加密后手机号,批次号,券类型编号,券数量
000000004BC40CC5EE85468FA0023D2AE135369D,ba28d28c47e22a2733b37d7a532dd7f6c294ed25f841335f8c18a4c92658b321,V-20210917-01,2021091822,1
00000000F64833E78E3A47CA829CBD44E5E452C7,b4f1f9f152ffad2780f5f2397cae4d48cf90f835b9c65d65f3ee4b10d3b200cf,V-20210917-01,2021091822,1
00000000119DD96F06BB4C1386C831196A970582,23cd1ce79233b36cb0c87ae234df6ca4a486a0c8d8ce90274fec18570b7c7657,V-20210917-01,2021091822,1
00000000A6D3F1FA20474D84A84D4FA840CCA681,20342e8123aa23115ebeb964a6a57c538e0190825c9bfd64640d498aedd8a4aa,V-20210917-01,2021091822,1
00000000D104BBFD79D4404D90EA9D5CB0C06F95,6094a5b333ed8439c5cd031028a3445067cb725a639d030e7c8111f0bfdf9179,V-20210917-01,2021091822,1
00000000AF585A3DE00045B3B73130E3299B24D8,6192fdb32020b1c8f60ae10d25080f82886b3fc9081ee5f3e78c384e3cb45cb3,V-20210917-01,2021091822,1
00000000C84621B69824486988C17D680190E1A1,def8fc5fe3f7ee6fcb77b9abf9429af48105dead41f5e1db48b8525cb6dc7ac5,V-20210917-01,2021091822,1
0000000018E6DA3C22D14BEC8C9849B2F42F04AE,01e188d49477470bf4e56930be08887395aecec2125957954b30242f3f1c6913,V-20210917-01,2021091822,1
000000005ABEF2C478AD40C0B3DF33C917A7C2B2,f7f30dd1937451ca2615d5ca9690c8081d3f497204b2c88930bd16cad71e7b13,V-20210917-01,2021091822,1
00000000BD65ECB0E33247F8A97E4782CE228E01,76f591fa7da2a8835d16e51c4e0c5f3293279100f238d753ef98470516b4ea47,V-20210917-01,2021091822,1
00000000E61BD47C74BD4F48BEFD122B2BB0ACC9,b68a7c57a7de1715af23a36d8ed6a97bc01f278411b479569d7ff7492f73e0b2,V-20210917-01,2021091822,1
00000000F5FFFDFE59824902869963213A40D6A9,98d689d17c1e672b61626d0bce377039613183cca9bb783d706cea6336f8aa51,V-20210917-01,2021091822,1
00000000406259AA660446EF81D904B85DFE5569,968bec76b518ed2ea121b34721bb7263bf23aaa7476abcec149f8e24f7db8502,V-20210917-01,2021091822,1
000000001F0F546B213C4F39B20769CE26213D05,26e8a95336dec36e68d0739c0f8ea38dc3a4694b4a6a53cb6e42ed88667e2beb,V-20210917-01,2021091822,1
00000000C5F2946DC89B473381D7B0842CE501EA,09ffb5c2bb88ddf09ea13202f73df7f3a04c6315e8b2411840eb530315017bd9,V-20210917-01,2021091822,1
00000000CFE6FD0C6AC74415B060B01D0FB2FDB6,c503616a976e5c0f482660e068e10d6c4e7414f258b8f7ff6c4377084bc5aa32,V-20210917-01,2021091822,1
,58c6ff3674aff6e8871fcdc37f7d9f1818d51dc990e99dc5477c98592a93ca77,V-20210917-01,2021091822,1
00000000FED82B7FFDEF4380BE616ADD031783D0,5edbb643c498a563422b049b3ca324ac5380e226e685786d35fef06fe67b2e46,V-20210917-01,2021091822,1
00000000ED05B000440E4ABB879D974669FDCF6F,e5304d91968882164d4379089b3988c6d593c11c60e78b386f21eb4df78c1550,V-20210917-01,2021091822,1
0000000062CEC2D6D84E4074848BA11235DEA1D3,03b92ccd070a22632efcd78161cc1175ff01fc72b877de4517a8e2da6222ba69,V-20210917-01,2021091822,1
